RegionID,Full,lat,long,pop,density
394585,"Fargo, ND",46.8651,-96.8292,205472,957
394586,"Faribault, MN",44.2996,-93.2789,23853,594
394587,"Farmington, MO",37.7822,-90.4282,18792,764
394588,"Farmington, NM",36.7555,-108.1823,44967,503
394589,"Fayetteville, NC",35.085,-78.9772,333366,550
394590,"Fayetteville, AR",36.0714,-94.1661,350995,617
394591,"Fergus Falls, MN",46.2854,-96.0758,13754,369
394592,"Fernley, NV",39.5627,-119.1906,20616,65
394593,"Findlay, OH",41.0469,-83.6379,41098,807
394594,"Fitzgerald, GA",31.7134,-83.2514,8747,376
394595,"Flagstaff, AZ",35.1872,-111.6194,79624,428
394596,"Flint, MI",43.0236,-83.6921,339283,1108
394597,"Florence, SC",34.178,-79.7898,88709,643
394598,"Florence, AL",34.8303,-87.6655,79590,591
394599,"Fond du Lac, WI",43.7718,-88.4397,42944,862
394600,"Forest City, NC",35.3339,-81.8702,7150,322
394601,"Forrest City, AR",35.0135,-90.7931,14062,268
394602,"Fort Collins, CO",40.5477,-105.0656,304657,1120
394604,"Fort Leonard Wood, MO",37.7562,-92.1274,14779,247
394605,"Fort Madison, IA",40.6207,-91.3509,10407,416
394606,"Fort Morgan, CO",40.2537,-103.7903,11311,818
394608,"Fort Polk South, LA",31.0512,-93.2159,8823,553
394609,"Fort Smith, AR",35.3495,-94.3695,125306,529
394612,"Fort Wayne, IN",41.0888,-85.1436,329170,935
394613,"Frankfort, IN",40.281,-86.5212,15569,746
394614,"Frankfort, KY",38.1924,-84.8643,27705,724
394615,"Fredericksburg, TX",30.266,-98.8751,11341,476
394616,"Freeport, IL",42.2891,-89.6346,23930,777
394617,"Fremont, NE",41.4395,-96.4873,26362,953
394618,"Fremont, OH",41.3535,-83.1147,16005,725
394619,"Fresno, CA",36.783,-119.7939,702486,1763
394620,"Gadsden, AL",34.0086,-86.0157,35224,363
394621,"Gaffney, SC",35.0743,-81.6552,12733,591
394622,"Gainesville, FL",29.6804,-82.3459,203541,816
394623,"Gainesville, GA",34.2902,-83.8294,139507,479
394624,"Kingsville, TX",27.5094,-97.861,25367,705
394625,"Galesburg, IL",40.9506,-90.3763,30405,661
394626,"Gallup, NM",35.5182,-108.7431,21637,413
394627,"Garden City, KS",37.9753,-100.8527,26403,934
394628,"Gardnerville Ranchos, NV",38.8957,-119.7492,11432,427
394629,"Georgetown, SC",33.3594,-79.2958,8884,490
394630,"Gettysburg, PA",39.8304,-77.2339,7684,1787
394631,"Gillette, WY",44.2752,-105.4982,32513,542
394632,"Glasgow, KY",37.0048,-85.9263,14394,350
394633,"Glens Falls, NY",43.3109,-73.6458,66024,1436
394634,"Gloversville, NY",43.0491,-74.3465,14771,1130
394635,"Goldsboro, NC",35.3778,-77.9717,34610,467
394637,"Grand Forks, ND",47.9214,-97.0884,63767,783
394638,"Grand Island, NE",40.9218,-98.3586,51250,658
394639,"Grand Junction, CO",39.0877,-108.5673,134074,606
394640,"Grand Rapids, MI",42.9619,-85.6562,615273,1719
